classe,novo_nome,arquivo_original,pasta_original,md5,copias_no_dataset_original,no_amostra_github
historico_infarto,historico_infarto_016.jpg,PMI(153).jpg,ECG Images of Patient that have History of MI (172x12=2064),64a7f0685575bc12397aa2972b04b22a,2,nao
historico_infarto,historico_infarto_017.jpg,PMI(154).jpg,ECG Images of Patient that have History of MI (172x12=2064),8358fb641a31b1e70f80c205e937b395,2,nao
historico_infarto,historico_infarto_018.jpg,PMI(156).jpg,ECG Images of Patient that have History of MI (172x12=2064),b65bac8d1252705697d7587a81ff10db,2,nao
historico_infarto,historico_infarto_019.jpg,PMI(158).jpg,ECG Images of Patient that have History of MI (172x12=2064),8c2f975f07b7faa97bc7d3e7805a8cc4,2,nao
historico_infarto,historico_infarto_020.jpg,PMI(160).jpg,ECG Images of Patient that have History of MI (172x12=2064),e78c5cde119aa6c3b3a9d01f9dcf0837,2,nao
historico_infarto,historico_infarto_021.jpg,PMI(163).jpg,ECG Images of Patient that have History of MI (172x12=2064),9af482e2425a1ed63b1f2cb1d9cbd6fb,2,nao
historico_infarto,historico_infarto_022.jpg,PMI(166).jpg,ECG Images of Patient that have History of MI (172x12=2064),f5a0d7719682a292d281012a8f4f3cf4,2,nao
historico_infarto,historico_infarto_023.jpg,PMI(168).jpg,ECG Images of Patient that have History of MI (172x12=2064),b7a894b443adb4f9f98f3bcdb034e210,2,nao
historico_infarto,historico_infarto_024.jpg,PMI(169).jpg,ECG Images of Patient that have History of MI (172x12=2064),219eef9efa14af8c8eb8aa3479416c23,2,nao
historico_infarto,historico_infarto_025.jpg,PMI(170).jpg,ECG Images of Patient that have History of MI (172x12=2064),996dd94057bf969ed45244b67aa18d35,2,nao
historico_infarto,historico_infarto_026.jpg,PMI(172).jpg,ECG Images of Patient that have History of MI (172x12=2064),b968e5e828f036048cb7d7c5be30c606,2,nao
historico_infarto,historico_infarto_027.jpg,PMI(2).jpg,ECG Images of Patient that have History of MI (172x12=2064),4fd91427eb1b06d6b990d4387734f04a,2,nao
historico_infarto,historico_infarto_028.jpg,PMI(7).jpg,ECG Images of Patient that have History of MI (172x12=2064),46cb293adbe5626ae5c1ffd8d9d2ba9f,2,nao
historico_infarto,historico_infarto_029.jpg,PMI(8).jpg,ECG Images of Patient that have History of MI (172x12=2064),949170c034aab2b2aca2daf668564932,2,nao
historico_infarto,historico_infarto_030.jpg,PMI(9).jpg,ECG Images of Patient that have History of MI (172x12=2064),25199be083798c3df118d9c84fa0385d,2,nao
